translator,family,language,domain,cosine,bleu,ter,embedding
google,south_se_asian,bn,emotional,0.98548891172708,56.43080811458734,29.41767068273092,0.8870527148246765
google,south_se_asian,hi,conversational,0.9879801318387528,63.3015816787515,28.6480686695279,0.8519032001495361
google,south_se_asian,hi,cultural,0.9824248441370588,64.26206945937186,26.37853949329359,0.9403070211410522
google,south_se_asian,hi,idiomatic,0.9708731142425452,49.37853631669008,40.094022834116856,0.8068383932113647
google,south_se_asian,hi,technical,0.9889026838134553,76.69706005836524,13.9389193422083,0.9780161380767822
google,south_se_asian,hi,legal,0.989264100615827,71.19974915504292,16.421452301850973,0.9480184316635132
google,south_se_asian,hi,emotional,0.9873490581435266,56.40046685466978,29.11646586345381,0.911091446876526
google,south_se_asian,id,conversational,0.986454792129964,59.805593811453306,28.75536480686695,0.8577295541763306
google,south_se_asian,id,cultural,0.9735594510663352,58.727878709247314,24.44113263785395,0.9093071222305298
google,south_se_asian,id,idiomatic,0.9671963702982906,54.08060170781165,31.967763599731363,0.7807631492614746
google,south_se_asian,id,technical,0.9787410413394376,65.4376800918572,21.69146436961629,0.9616734981536864
google,south_se_asian,id,legal,0.9803592981541852,53.53872538554782,29.046037019458947,0.9109432697296144
google,south_se_asian,id,emotional,0.982079618599042,55.38918978552796,29.61847389558233,0.8767529129981995
google,south_se_asian,ms,conversational,0.9891064706950772,64.84000721687224,24.67811158798284,0.877278745174408
google,south_se_asian,ms,cultural,0.9762284348140376,61.04588180666303,23.62146050670641,0.9068667888641356
google,south_se_asian,ms,idiomatic,0.977717129518224,64.17703399112374,24.244459368703826,0.863971471786499
google,south_se_asian,ms,technical,0.980601942682396,67.22778027282185,19.42051683633516,0.9619815945625304
google,south_se_asian,ms,legal,0.9861081287023716,66.2428574753362,19.743711438063595,0.94662606716156
google,south_se_asian,ms,emotional,0.9825640155980612,60.04449117398359,25.552208835341368,0.8821356892585754
google,south_se_asian,ta,conversational,0.986856675680078,57.24506095210803,33.798283261802574,0.8445502519607544
google,south_se_asian,ta,cultural,0.9756466442503546,58.10764453700767,28.53949329359165,0.9168523550033568
google,south_se_asian,ta,idiomatic,0.9839927569249408,62.20231927921834,27.199462726662187,0.9151924252510072
google,south_se_asian,ta,technical,0.9805312660302604,67.4969310209982,19.42051683633516,0.954606831073761
google,south_se_asian,ta,legal,0.98452412850159,62.92332500740211,23.398196487897486,0.9352482557296752
google,south_se_asian,ta,emotional,0.9853274298592614,51.3038211475336,33.734939759036145,0.9012173414230348
google,south_se_asian,te,conversational,0.9866175035674226,58.15817335322453,31.86695278969957,0.8517723083496094
google,south_se_asian,te,cultural,0.9855070930050164,68.8121767275861,19.895678092399404,0.9609118700027466
google,south_se_asian,te,idiomatic,0.9843606852844782,62.13582674731499,26.729348556077905,0.9240596294403076
google,south_se_asian,te,technical,0.9844151195892316,73.62991847080629,16.20986687548943,0.9707595109939576
google,south_se_asian,te,legal,0.9852235025137708,63.38776877625556,23.25581395348837,0.9436282515525818
google,south_se_asian,te,emotional,0.98448847858443,54.35783903202334,30.070281124498,0.918358564376831
google,south_se_asian,th,conversational,0.9840765638542528,50.72468144668906,35.622317596566525,0.8260000348091125
google,south_se_asian,th,cultural,0.9758938289383694,54.44343477884658,27.79433681073025,0.9239255785942078
google,south_se_asian,th,idiomatic,0.9760750929888532,56.77634192346389,30.89321692411014,0.8733564019203186
google,south_se_asian,th,technical,0.9705750951851884,56.35064544463,27.564604541895065,0.9327607154846193
google,south_se_asian,th,legal,0.975120923448554,39.99023256357046,41.81300427147603,0.8799850344657898
google,south_se_asian,th,emotional,0.9842093909101473,43.912189929908834,36.847389558232926,0.8842079639434814
google,south_se_asian,ur,conversational,0.9923234410364944,72.1319430989569,20.493562231759658,0.8968511819839478
google,south_se_asian,ur,cultural,0.9805483669883456,66.7680804293792,22.42921013412817,0.9400710463523864
google,south_se_asian,ur,idiomatic,0.984167314084648,68.66792787623756,21.96104768300873,0.910783052444458
google,south_se_asian,ur,technical,0.9852208154139448,73.82229667296889,16.8363351605325,0.9705992937088012
google,south_se_asian,ur,legal,0.9881647300891778,70.28361750264506,18.035121025154247,0.9391533732414246
google,south_se_asian,ur,emotional,0.9900143511693354,59.61842624020007,26.5562248995984,0.9247000813484192
google,south_se_asian,vi,conversational,0.98578410423615,59.993969444346,28.54077253218884,0.851519763469696
google,south_se_asian,vi,cultural,0.9772676073896862,59.1845394280176,24.29210134128167,0.931638479232788
google,south_se_asian,vi,idiomatic,0.9736934915736,58.91479533632769,28.744123572867696,0.8593814969062805
google,south_se_asian,vi,technical,0.979890976630106,66.41489223442056,20.6734534064213,0.9556750655174256
google,south_se_asian,vi,legal,0.98305553081784,60.52839905616015,24.58471760797342,0.9075638055801392
google,south_se_asian,vi,emotional,0.9869393578343996,56.44435165576644,26.305220883534137,0.9174566864967346
google,turkic,az,conversational,0.9870727635137594,59.09434119601632,31.223175965665234,0.8378379344940186
google,turkic,az,cultural,0.9683504778789078,51.11504564289906,35.991058122205665,0.8778396844863892
google,turkic,az,idiomatic,0.9790928862259288,57.926013606179474,31.69912693082606,0.8699057102203369
google,turkic,az,technical,0.9820013076407084,68.09515260029707,20.12529365700861,0.9539514780044556
google,turkic,az,legal,0.98269219934373,58.49287410286305,27.81205505457997,0.916504442691803
google,turkic,az,emotional,0.986183913961446,52.17371451690191,32.1285140562249,0.8872760534286499
google,turkic,kk,conversational,0.9852506140148224,55.495936704959306,33.69098712446352,0.8106889128684998
google,turkic,kk,cultural,0.9655459454509272,47.74200905526504,38.82265275707898,0.8780552744865417
google,turkic,kk,idiomatic,0.9732546549113772,49.36809221361484,39.6910678307589,0.8357906341552734
google,turkic,kk,technical,0.9761186838104782,61.51033412838407,26.233359436178542,0.9413743615150452
